Descripcion;Precio_Venta_Final;IdArticulo;Stock
BUDIN HOJALATA GRANEADO R.C.Nº3 22x11cm (22);13457,64;10201419;-1,00
BUDIN HOJALATA GRANEADO R.C.Nº4 24x11cm (24);16706,44;10201420;0,00
BATUQUE PATRIMAR x12;5763,06;10201450;1,00
CORTANTE HOJAS LISAS PLASTICAS AMALIx4;5432,35;10201462;2,00
GALERA CON CENTRO FLOR MULTICOLOR METAL JLx1 445;12104,24;10201464;0,00
ARAÑAS COLOR PATRIMAR x24;2924,01;10201496;21,00
AZUCAR DEWEY RUBIA x1kg;4681,75;10201498;0,70
FLANERA ALUMINIO LABRADA Nº18  x1;7357,30;10201499;1,00
FLANERA ALUMINIO LABRADA Nº20  x1;7290,67;10201500;0,00
FLANERA ALUMINIO LABRADA Nº22  x1;8435,37;10201501;0,00
FLANERA ALUMINIO LISA Nº18  x1;7050,96;10201502;4,00
FLANERA ALUMINIO LISA Nº20  x1;7631,40;10201503;3,00
FLANERA ALUMINIO LISA Nº22  x1;8168,81;10201504;0,00
SAVARIN ALUMINIO N22  x1;10718,33;10201505;1,00
SAVARIN ALUMINIO N24  x1;11132,37;10201506;1,00
SAVARIN ALUMINIO N26  x1;12161,63;10201507;1,00
SAVARIN ALUMINIO N28  x1;12943,27;10201508;1,00
SAVARIN ALUMINIO N30  x1;14839,28;10201509;1,00
TORTERA ALUMINIO Nº22  x1;9117,90;10201511;0,00
TORTERA ALUMINIO Nº24  x1;9848,79;10201512;0,00
TORTERA ALUMINIO Nº26  x1;10820,87;10201513;0,00
TORTERA ALUMINIO Nº28  x1;11548,12;10201514;0,00
GALERA FLUO DE TELA JERSEY 1006;8774,92;10201518;2,00
VINCHA FLUO HOT x4;2366,94;10201537;3,50
ARANAS NEGRAS PATRIMAR x24;3248,90;10201538;3,00
BANDA DE EGRESADOx1;4827,90;10201570;4,00
TIRA GOMA EVA MI BAUTISMO CELESTE ART.20/60.000;7035,04;10201610;5,00
TIRA GOMA EVA GLOBITOS FELIZ CUMPLE NENE ART.31/70.000;5155,33;10201614;2,00
BILLETE DIDACTICO PESOS x100;2120,28;10201621;0,00
ROSARIO ECONOMICO GRANDE BLANCO x1;4694,07;10201654;-4,00
ROSARIO ECONOMICO GRANDE CRISTAL;4694,07;10201655;-1,00
CINTA BALLOU 03 LISA BLANCA Nº01 x50mts C223;4091,43;10201669;0,00
CINTA BALLOU 03 LISA ROJO Nº08 x50mts C223;4091,43;10201675;0,00
CINTA BALLOU 03 LISA LILA Nº19 x50mts C223;4091,43;10201681;3,00
CINTA BALLOU 03 LISA TURQUESA Nº14 x50mts C223;4091,43;10201684;1,00
VELA BENGALA  DECORADA MILLONARIO x4;3458,12;10201727;3,25
VELA BENGALA  DECORADA BOSTERO x4;3458,12;10201728;0,75
CORTANTE FLORES PLASTICAS MARGARITA/NO ME OLVIDES AMALIx6;6035,96;10201731;5,00
MARACA BANANA GIGANTE x6;7550,40;10201820;8,00
CHALECO DE GAUCHO x1;7448,76;10201864;11,00
POLLERA PAISANA x1;9408,96;10201865;2,00
POLLERA NEGRITA x1;9408,96;10201866;0,00
ROSITAS PORCELANA FRIA BLANCA x6 (PATRICIA);6776,00;10202089;0,00
SOLDADITOS CAMUFLADOS PATRIMAR x12;1634,38;10202178;19,00
BOUQUET ROSAS PORCELANA FRIA BLANCO (PATRICIA);5793,48;10202202;1,00
GORRO REALISTA JERSEY ROXx1 P.22;5292,61;10202300;0,00
SACO CABALLERO CON YABOT CROSTI 24 T4;17641,80;10202627;0,00
ESTEKAS VIOLETA COOPER x 14;10561,34;10202674;2,00
ARANAS GRANDE NEGRA PATRIMAR x6;1544,18;10202686;1,00
PALITO PARA CHUPETIN BLANCO x1/2kg;11757,72;10202729;12,80
MOLDECITO COLOR GRANDE x24;2678,61;10202917;9,00
ROSARIO COMUNION PERLAS CRUZ ACRILICO DENARIO x4 BLANCO;3225,38;10202961;0,00
CORTANTE REDONDO LISO Nº10 10cm x2;4419,28;10203010;4,00
CORTANTE REDONDO LISO Nº11 11cm x2;5020,81;10203011;4,50
CORTANTE REDONDO LISO Nº12 12cm x2;5240,13;10203012;2,00
CORTANTE REDONDO LISO Nº13 13cm x2;5840,96;10203013;3,00
CORTANTE REDONDO LISO Nº14 14cm x2;6372,04;10203014;0,50
CORTANTE REDONDO LISO Nº15 15cm x2;6107,99;10203015;-0,50
CORTANTE REDONDO LISO Nº3 3cm x6;6580,61;10203016;3,97
CORTANTE REDONDO LISO Nº4 4cm x6;7342,84;10203017;2,33
CORTANTE REDONDO LISO Nº5 5cm x6;8848,74;10203018;0,50
CORTANTE REDONDO LISO Nº6 6cm x6;11486,46;10203019;3,84
CORTANTE REDONDO LISO Nº7 7cm x4;7567,55;10203020;3,75
CORTANTE REDONDO LISO Nº8 8cm x4;7972,63;10203021;3,50
CORTANTE REDONDO LISO Nº9 9cm x4;8070,00;10203022;0,50
CORTANTE REDONDO LISO Nº2 2cm x6;7743,47;10203023;3,00
TERMOMETRO REPOSTERO HASTA 150ºC x1;7635,58;10203029;11,00
CUBANITO MARROC OBLITA x48 (BULTO x16) 1615;81621,55;10203032;1,00
MOÑO ROSETA ESPECIAL PERLADO x6 M315;7597,64;10203036;-2,50
MOÑO ROSETA ESPECIAL FANTASIA x6 M314;5724,18;10203038;-0,16
BANDERA ARGENTINA TELA CON SOLx1 (70 x140);6455,59;10203151;2,00
MARACA CHOCLO FLUO x50 (Colores surtidos);22101,98;10203211;1,32
MARACA BANANA FLUO x50 (Colores Surtidos);22101,98;10203212;0,24
MARACA FLUO x250;90146,49;10203256;2,74
MARACA FLUO x50;22101,98;10203257;-3,20
ALIANZA METAL PREMIUM ORO x25;8306,35;10203266;2,00
CINTA RASO Nº1 BLANCA x10mts 1;3011,98;10203315;0,80
CINTA RASO Nº1 ROSA x10mts 12;3011,98;10203321;1,00
CINTA RASO Nº1 AZUL x10mts 14;3011,98;10203323;3,80
CINTA RASO Nº1 SALMON x10mts 27;3011,98;10203329;1,00
CINTA RASO Nº1 MANZANA x10mts 32;3011,98;10203330;1,00
CINTA RASO Nº2 CELESTE x10mts 3;3552,78;10203332;1,00
CINTA RASO Nº2 NEGRO x10mts 16;3552,78;10203340;5,00
CINTA RASO Nº5 CELESTE x10mts 3;6015,16;10203370;6,00
CINTA RASO Nº5 AMARILLO x10mts 4;6015,16;10203371;11,00
CINTA RASO Nº5 LILA x10mts 6;6015,16;10203372;3,00
CINTA RASO Nº5 ROJO x10mts 8;6015,16;10203373;2,00
CINTA RASO Nº5 VERDE AGUA x10mts 13;6015,16;10203376;6,00
CINTA RASO Nº5 AZUL x10mts 14;6015,16;10203377;3,00
CINTA RASO Nº5 ORO x10mts 17;6015,16;10203379;10,00
CINTA RASO Nº5 TURQUEZA x10mts 18;6015,16;10203380;3,00
CINTA RASO Nº5 VERDE x10mts 20;6015,16;10203381;4,00
CINTA RASO Nº5 MANZANA x10mts 32;5296,98;10203384;0,00
CINTA RASO Nº5 NARANJA x10mts 19;6015,16;10203553;5,00
AGITADOR DE CAFE BLANCO/CRISTAL 10,5cm x1000 aprox.;5978,01;10203571;0,00
AZUCAR DEWEY FRACCIONADA RUBIA (BULTO x10KG.);39502,28;10203594;0,00
BOLSAS DE PAPEL x100 (art.1);3187,21;10203647;7,30
BOLSAS DE PAPEL x100 (2L);3442,94;10203648;23,60
BOLSAS DE PAPEL x100 (4A);4977,69;10203649;24,20
MANGA PARPEN DESCARTABLE 45cm. ROLLOx50uni. MD18R5;31394,56;10203653;0,00
VASO AMERICAN PLAST 1000cc x50;13608,07;10203656;0,00
VELA BENGALA  DECORADA ACADEMIA x4;4054,35;10203863;0,00
VELA BENGALA  DECORADA CUERVO x4;3458,12;10203864;0,25
PIROTIN CUPCAKES Nº10 LISO PL9 ROJO x510 M-PACK;18547,87;10203958;0,24
ABECEDARIO GOMA EVA MEDIANO x45 ;6872,80;10203960;26,00
PIROTIN CUPCAKES Nº10 LISO  PL11 AZUL x510 M-PACK;18547,87;10203962;0,35
PIROTIN CUPCAKES Nº10 LISO PL2 NEGRO x510 M-PACK;18547,87;10203963;0,00
BOINA GAUCHO CROSTIx4 (17);14578,99;10203989;11,00
VELA BENGALA  DECORADA H.ARAÑAx4;3458,12;10203994;2,25
GORRO BICORNIO BELGRANO TELA ROXx1 P15;5292,61;10203996;12,00
PIROTIN CUPCAKES Nº10 METALIZADO DORADO PM1 x200 M-PACK;26727,79;10204110;1,50
PIROTIN CUPCAKES Nº10 METALIZADO PLATA PM2 x200 M-PACK;26727,79;10204118;0,90
PIROTIN CUPCAKES Nº8 LISO PL 10 ROSA x510 M-PACK;14371,21;10204161;-0,56
MINIATURA SURTIDO FONDO DEL MAR STASIO x24;4407,23;10204163;9,00
CINTA RASO Nº1 AMARILLO FLUO x10mts 37;2260,90;10204191;-1,00
CINTA RASO Nº1 NARANJA FLUO x10mts 39;2260,90;10204193;0,00
